CODE;TITRE;DEBUT DE VALIDITE;FIN DE VALIDITE;UTILISATION;UTILISATION PAR CLIENT;POURCENTAGE REMISE %;VALABLE SUR PAYS;TYPE DE FORFAIT
2AHZ2BC;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
2ARLQ51;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
2B7H3ED;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
2B8JZ6Y;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
2BBY43D;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
2BSPN3K;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
2CAMJI6;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
2CIR07S;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
2CTFEH3;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
2D0Y711;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
2D2YNEF;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
2D8APFR;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
2D99RGM;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
2DB95JW;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
2DDFUWK;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
2DU44OA;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
2DUO3F5;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
2DWA86H;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
2DWX1BR;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
2DYOCX1;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
2E0N8A9;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
2E6UFX0;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
2E9NRMG;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
2EMZ5TI;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
2F1GDEA;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
2F5ODX7;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
2FDNWWY;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
2FJMN9C;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
2FK1ND4;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
2FYNY45;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
2G4FIU9;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
2GBNDEI;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
2GBTB9M;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
2GM8WVL;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
2H3K9NF;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
2HBS94G;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
2HOU1XS;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
2HSX2HJ;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
2I29ND8;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
2ISYF7C;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
2IUY38S;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
2J3CG80;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
2J6RM7J;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
2JEBTPD;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
2JMSNQ8;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
2JQY9CK;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
2KTNOF3;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
2LGWO9K;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
2LQEUWK;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
2M2R9HI;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
2MIEW7P;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
2MJ7VKY;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
2MLFZD2;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
